paz	offset	packed_size	original_size	path
5542	685380	52336	52326	sound2022/windows/chinese(prc)/npc_vce_47648_1_2_bahram_pam.bnk
5542	737716	40688	40674	sound2022/windows/chinese(prc)/npc_vce_47648_1_3_bahram.bnk
5542	778404	61456	61440	sound2022/windows/chinese(prc)/npc_vce_47648_1_4_bahram.bnk
5542	839860	62960	62950	sound2022/windows/chinese(prc)/npc_vce_47648_1_4_bahram_pam.bnk
5542	902820	52560	52544	sound2022/windows/chinese(prc)/npc_vce_47648_1_5_bahram.bnk
5542	955380	47872	47859	sound2022/windows/chinese(prc)/npc_vce_47648_1_6_bahram.bnk
5542	1003252	58568	58559	sound2022/windows/chinese(prc)/npc_vce_47648_1_7_bahram_pam.bnk
5542	1061820	51032	51017	sound2022/windows/chinese(prc)/npc_vce_47648_1_8_bahram_pam.bnk
5542	1112852	37760	37748	sound2022/windows/chinese(prc)/npc_vce_47648_1_9_bahram_pam.bnk
5542	1150612	55624	55609	sound2022/windows/chinese(prc)/npc_vce_47648_2.bnk
5542	1206236	51368	51352	sound2022/windows/chinese(prc)/npc_vce_47648_3.bnk
5542	1257604	43232	43219	sound2022/windows/chinese(prc)/npc_vce_47649_1.bnk
5542	1300836	30680	30669	sound2022/windows/chinese(prc)/npc_vce_47649_1_1_eileen.bnk
5542	1331516	31672	31659	sound2022/windows/chinese(prc)/npc_vce_47649_1_2_eileen.bnk
5542	1363188	38320	38308	sound2022/windows/chinese(prc)/npc_vce_47649_1_3_eileen.bnk
5542	1401508	49488	49473	sound2022/windows/chinese(prc)/npc_vce_47649_1_4_eileen.bnk
5542	1450996	56712	56698	sound2022/windows/chinese(prc)/npc_vce_47649_1_5_eileen.bnk
5542	1507708	38520	38507	sound2022/windows/chinese(prc)/npc_vce_47649_1_6_eileen.bnk
5542	1546228	39032	39021	sound2022/windows/chinese(prc)/npc_vce_47649_1_7_eileen.bnk
5542	1585260	45808	45792	sound2022/windows/chinese(prc)/npc_vce_47649_2.bnk
5542	1631068	44664	44648	sound2022/windows/chinese(prc)/npc_vce_47649_3.bnk
5542	1675732	48144	48135	sound2022/windows/chinese(prc)/npc_vce_47650_1.bnk
5542	1723876	56608	56597	sound2022/windows/chinese(prc)/npc_vce_47650_1_1_isobelle.bnk
5542	1780484	39920	39906	sound2022/windows/chinese(prc)/npc_vce_47650_1_2_isobelle.bnk
5542	1820404	38640	38624	sound2022/windows/chinese(prc)/npc_vce_47650_1_3_isobelle.bnk
5542	1859044	39304	39294	sound2022/windows/chinese(prc)/npc_vce_47650_1_4_isobelle.bnk
5542	1898348	49016	49003	sound2022/windows/chinese(prc)/npc_vce_47650_1_5_isobelle.bnk
5542	1947364	53488	53473	sound2022/windows/chinese(prc)/npc_vce_47650_1_6_isobelle.bnk
5542	2000852	50960	50947	sound2022/windows/chinese(prc)/npc_vce_47650_1_7_isobelle.bnk
5542	2051812	31456	31441	sound2022/windows/chinese(prc)/npc_vce_47650_2.bnk
5542	2083268	45280	45266	sound2022/windows/chinese(prc)/npc_vce_47650_3.bnk
5542	2128548	47128	47119	sound2022/windows/chinese(prc)/npc_vce_47651_1.bnk
5542	2175676	58168	58158	sound2022/windows/chinese(prc)/npc_vce_47651_2.bnk
5542	2233844	68000	67990	sound2022/windows/chinese(prc)/npc_vce_47651_3.bnk
5542	2301844	45456	45447	sound2022/windows/chinese(prc)/npc_vce_47652_1.bnk
5542	2347300	69160	69146	sound2022/windows/chinese(prc)/npc_vce_47652_2.bnk
5542	2416460	59120	59110	sound2022/windows/chinese(prc)/npc_vce_47652_3.bnk
5542	2475580	53696	53687	sound2022/windows/chinese(prc)/npc_vce_47653_1.bnk
5542	2529276	40192	40179	sound2022/windows/chinese(prc)/npc_vce_47653_2.bnk
5542	2569468	63672	63662	sound2022/windows/chinese(prc)/npc_vce_47653_3.bnk
5542	2633140	47336	47324	sound2022/windows/chinese(prc)/npc_vce_47654_1.bnk
5542	2680476	65656	65647	sound2022/windows/chinese(prc)/npc_vce_47654_2.bnk
5542	2746132	49608	49592	sound2022/windows/chinese(prc)/npc_vce_47654_3.bnk
5542	2795740	53232	53218	sound2022/windows/chinese(prc)/npc_vce_47655_1.bnk
5542	2848972	49920	49905	sound2022/windows/chinese(prc)/npc_vce_47655_2.bnk
5542	2898892	59960	59950	sound2022/windows/chinese(prc)/npc_vce_47655_3.bnk
5542	2958852	58432	58416	sound2022/windows/chinese(prc)/npc_vce_47656_1.bnk
5542	3017284	42928	42912	sound2022/windows/chinese(prc)/npc_vce_47656_2.bnk
5542	3060212	81040	81031	sound2022/windows/chinese(prc)/npc_vce_47656_3.bnk
5542	3141252	71360	71349	sound2022/windows/chinese(prc)/npc_vce_47657_1.bnk
5542	3212612	44672	44661	sound2022/windows/chinese(prc)/npc_vce_47657_2.bnk
5542	3257284	60504	60493	sound2022/windows/chinese(prc)/npc_vce_47657_3.bnk
5542	3317788	41048	41035	sound2022/windows/chinese(prc)/npc_vce_47658_1.bnk
5542	3358836	74064	74054	sound2022/windows/chinese(prc)/npc_vce_47658_2.bnk
5542	3432900	78720	78707	sound2022/windows/chinese(prc)/npc_vce_47658_3.bnk
5542	3511620	52832	52817	sound2022/windows/chinese(prc)/npc_vce_47659_1.bnk
5542	3564452	80912	80896	sound2022/windows/chinese(prc)/npc_vce_47659_2.bnk
5542	3645364	61528	61517	sound2022/windows/chinese(prc)/npc_vce_47659_3.bnk
5542	3706892	42040	42031	sound2022/windows/chinese(prc)/npc_vce_47661_1.bnk
5542	3748932	61600	61587	sound2022/windows/chinese(prc)/npc_vce_47661_2.bnk
5542	3810532	56328	56314	sound2022/windows/chinese(prc)/npc_vce_47661_3.bnk
5542	3866860	54104	54094	sound2022/windows/chinese(prc)/npc_vce_47662_1.bnk
5542	3920964	45584	45568	sound2022/windows/chinese(prc)/npc_vce_47662_2.bnk
5542	3966548	29304	29292	sound2022/windows/chinese(prc)/npc_vce_47662_3.bnk
5542	3995852	56672	56657	sound2022/windows/chinese(prc)/npc_vce_47663_1.bnk
5542	4052524	49048	49033	sound2022/windows/chinese(prc)/npc_vce_47663_2.bnk
5542	4101572	49632	49618	sound2022/windows/chinese(prc)/npc_vce_47663_3.bnk
5542	4151204	52608	52597	sound2022/windows/chinese(prc)/npc_vce_47664_1.bnk
5542	4203812	60112	60101	sound2022/windows/chinese(prc)/npc_vce_47664_2.bnk
5542	4263924	40816	40806	sound2022/windows/chinese(prc)/npc_vce_47664_3.bnk
5542	4304740	53200	53185	sound2022/windows/chinese(prc)/npc_vce_47665_1.bnk
5542	4357940	43448	43436	sound2022/windows/chinese(prc)/npc_vce_47665_2.bnk
